question,answer,image_path,HasImage
Wer gewann die meisten Medallien bei den Olympischen Winterspiele 2022?, Norwegen,,False
In welchem Jahr fand die erste Fußball-Weltmeisterschaft statt?, 1930,,False
In welchem Jahr fand der Zweite Weltkrieg statt?, 1939-1945,,False
In welchem Land steht der schiefe Turm von Pisa?, Italien,,False
Wie viele Zähler gibt ein Korb in einem Basketballspiel?, Zwei oder Drei,,False
Welche Stadt ist die Hauptstadt von Türkei?, Ankara,,False
"Wer schrieb ""Die Räuber""?", Friedrich Schiller,,False
Was ist die Hauptstadt von Kolumbien?, Bogotá,,False
Wie nennt man den rauchigen Geschmack der in vielen Whiskys zu finden ist?, Torfig,,False
"In welchem Sport gibt es den ""Super Bowl""?", American Football,,False
Welches Getränk wird aus fermentierten Äpfeln hergestellt?, Apfelwein,,False
Welche Stadt ist die Hauptstadt von Schweiz?, Bern,,False
Wer erfand die Glühbirne?, Thomas Edison,,False
In welchem Jahr wurden die ersten Winterolympischen Spiele ausgetragen?, 1924,,False
Was ist die Hauptstadt von Kenia?, Nairobi,,False
"Wer schrieb ""Faust""?", Johann Wolfgang von Goethe,,False
Welches Werkzeug wird häufig verwendet um Löcher in Wände zu bohren?, Bohrmaschine,,False
In welchem Jahr fand der Angriff auf Pearl Harbor statt?, 1941,,False
Welches Land hat die meisten Zeitzonen?, Frankreich,,False
Was ist der Hauptbestandteil eines klassischen Mojitos?, Rum,,False
Welche Stadt ist die Hauptstadt von Portugal?, Lissabon,,False
Wie nennt man das Stück der Zigarette welches im Mund ist?, Zigarettenfilter,,False
"Welches Lied wird oft als die ""Hymne der 80er"" bezeichnet?"," ""Take On Me"" von A-ha",,False
Welches Getränk enthält die höchste Menge an Alkohol?, Schnaps,,False
Was ist die chemische Formel für Wasser?, H2O,,False
Welche Stadt ist die Hauptstadt von Afghanistan?, Kabul,,False
Was ist das schwerste Tier der Erde?, Blauwal,,False
Was ist eine schädliche Substanz beim Rauchen von Zigaretten?, Teer,,False
Welcher berühmte Fußballer spielte lange Zeit für den FC Barcelona und wurde 2021 zu Paris Saint-Germain transferiert?, Lionel Messi,,False
Wie nennt man das Getränk das durch den Destillationsprozess von Wein hergestellt wird?, Brandy,,False
In welchem Jahr fand die erste moderne Olympiade statt?, 1896,,False
Welcher Action-Film von Sylvester Stallone dreht sich um einen ehemaligen Green Beret der gegen das System kämpft?, Rambo,,False
Was ist das größte Flusssystem der Welt?, Amazonas,,False
"Welche Band veröffentlichte das Album ""Dark Side of the Moon""?", Pink Floyd,,False
Wer gewann die Formel-1-Weltmeisterschaft 2020?, Lewis Hamilton,,False
Welche Stadt ist die Hauptstadt von Tschechien?, Prag,,False
Was ist das kleinste Knochen im menschlichen Körper?, Steigbügel,,False
Welche Stadt ist die Hauptstadt von Philippinen?, Manila,,False
Was ist das laengste Bauwerk der Welt?, Chinesische Mauer,,False
Wer war der erste Mensch der den Mount Everest bestieg?, Sir Edmund Hillary,,False
Welches Tier ist das kleinste Säugetier der Welt?, Hummelfledermaus,,False
Welches Land hat die meisten Goldmedaillen bei den Sommer-Olympischen Spielen gewonnen?, USA,,False
Welches Tier kann am längsten ohne Wasser auskommen?, Kamel,,False
Welcher Fluss fließt durch Rom?, Tiber,,False
Wie viele Spieler sind in einem Volleyballteam auf dem Spielfeld?, Sechs,,False
Was ist das kälteste Land der Welt?, Russland (Oimjakon),,False
Welches alkoholische Getränk wird traditionell bei der Oktoberfest-Feier in Deutschland konsumiert?, Bier,,False
"Wer komponierte die ""Mondscheinsonate""?", Ludwig van Beethoven,,False
In welchem Jahr fand die Französische Revolution statt?, 1789,,False
In welchem Jahr startete die erste Raumstation ins All?, 1971,,False
"Welches Auto wird oft als Symbol für Luxus und Leistung angesehen und ist bekannt für seine Modellreihe ""911""?", Porsche,,False
Welches Getränk wird durch Fermentation von Hefe und Zucker hergestellt?, Bier,,False
In welchem Jahr wurde die Titanic gebaut?, 1912,,False
Was ist der Hauptbestandteil von Scotch Whisky?, Gerste,,False
Was ist das chemische Symbol für Blei?, Pb,,False
Welcher Sport beinhaltet das Schießen mit einem Pfeil auf eine Zielscheibe?, Bogenschießen,,False
In welchem Jahr wurde die UNO gegründet?, 1945,,False
Welches Land gewann die Rugby-Weltmeisterschaft 2019?, Südafrika,,False
Wie viele Spieler sind in einem Baseball-Team auf dem Feld?, Neun,,False
In welchem Jahr fand der Erste Weltkrieg statt?, 1914-1918,,False
Welche Stadt ist die Hauptstadt von Norwegen?, Oslo,,False
In welchem Jahr wurde die erste Glühbirne erfunden?, 1879,,False
In welchem Land befindet sich der Grand Canyon?, USA,,False
Wie viele Planeten hat unser Sonnensystem?, Acht,,False
Wie nennt man das Verfahren bei dem Alkohol durch Filtration von Spirituosen entfernt wird?, Entalkoholisierung,,False
"Welche Sportart wird auch als ""America's Game"" bezeichnet?", American Football,,False
Welche Stadt ist die größte der Welt nach Einwohnerzahl?, Tokio,,False
Welche Währung wurde in Deutschland vor dem Euro verwendet?, Deutsche Mark,,False
In welchem Land befindet sich die Stadt Timbuktu?, Mali,,False
In welchem Jahr fand der erste kommerzielle Flug statt?, 1914,,False
In welchem Jahr wurde der erste Film gedreht?, 1895,,False
Welches Tier hat die stärkste Bisskraft?, Salzwasserkrokodil,,False
Welches Land gewann die Fußball-Weltmeisterschaft 2018?, Frankreich,,False
In welchem Jahr wurde das erste Handy erfunden?, 1973,,False
Wer war die erste Frau im Weltraum?, Walentina Tereschkowa,,False
Welcher Alkohol wird durch Destillation von Getreide oder Kartoffeln hergestellt?, Wodka,,False
"In welchem Sport wird der ""Heisman Trophy"" vergeben?", American Football,,False
Wie nennt man die Sportart bei der ein Sportler von einem hohen Sprungbrett ins Wasser springt?, Turmspringen,,False
Wie viele Runden hat ein Boxkampf in der Profiboxweltmeisterschaft?, Meistens 12,,False
Was ist die Hauptzutat von Bourbon?, Mais,,False
Wie nennt man den Prozess bei dem Alkohol durch Erhitzen von Wein gewonnen wird?, Destillation,,False
Wie viele Seiten hat eine Standard-Gitarre?, Sechs,,False
Welche Stadt ist die Hauptstadt von Singapur?, Singapur,,False
